Movie_ID,Series_Title,Released_Year,Certificate,Runtime,Genre,IMDB_Rating,Meta_score,Director,Star1,Star2,Star3,Star4,No_of_Votes,Gross
534,Manhattan,1979,R,96,Comedy,7.9,83,Woody Allen,Woody Allen,Diane Keaton,Mariel Hemingway,Michael Murphy,131436,"4,57,00,000"
535,All That Jazz,1979,A,123,Drama,7.9,72,Bob Fosse,Roy Scheider,Jessica Lange,Ann Reinking,Leland Palmer,28223,"3,78,23,676"
536,Dawn of the Dead,1978,A,127,Action,7.9,71,George A. Romero,David Emge,Ken Foree,Scott H. Reiniger,Gaylen Ross,111512,"51,00,000"
537,All the President's Men,1976,U,138,Biography,7.9,84,Alan J. Pakula,Dustin Hoffman,Robert Redford,Jack Warden,Martin Balsam,103031,"7,06,00,000"
538,La montaÃ±a sagrada,1973,R,114,Adventure,7.9,76,Alejandro Jodorowsky,Alejandro Jodorowsky,Horacio Salinas,Zamira Saunders,Juan Ferrara,37183,"61,001"
539,Amarcord,1973,R,123,Comedy,7.9,78,Federico Fellini,Magali NoÃ«l,Bruno Zanin,Pupella Maggio,Armando Brancia,39897,"6,80,34,751"
540,Le charme discret de la bourgeoisie,1972,PG,102,Comedy,7.9,93,Luis BuÃ±uel,Fernando Rey,Delphine Seyrig,Paul Frankeur,Bulle Ogier,38737,"1,98,809"
541,"Aguirre, der Zorn Gottes",1972,U,95,Action,7.9,78,Werner Herzog,Klaus Kinski,Ruy Guerra,Helena Rojo,Del Negro,52397,"6,80,34,751"
542,Harold and Maude,1971,PG,91,Comedy,7.9,62,Hal Ashby,Ruth Gordon,Bud Cort,Vivian Pickles,Cyril Cusack,70826,"6,80,34,751"
543,Patton,1970,U,172,Biography,7.9,91,Franklin J. Schaffner,George C. Scott,Karl Malden,Stephen Young,Michael Strong,93741,"6,17,00,000"
544,The Wild Bunch,1969,A,145,Action,7.9,97,Sam Peckinpah,William Holden,Ernest Borgnine,Robert Ryan,Edmond O'Brien,77401,"1,20,64,472"
545,Night of the Living Dead,1968,U,96,Horror,7.9,89,George A. Romero,Duane Jones,Judith O'Dea,Karl Hardman,Marilyn Eastman,116557,"89,029"
546,The Lion in Winter,1968,PG,134,Biography,7.9,78,Anthony Harvey,Peter O'Toole,Katharine Hepburn,Anthony Hopkins,John Castle,29003,"2,22,76,975"
547,In the Heat of the Night,1967,U,110,Crime,7.9,75,Norman Jewison,Sidney Poitier,Rod Steiger,Warren Oates,Lee Grant,67804,"2,43,79,978"
548,Charade,1963,U,113,Comedy,7.9,83,Stanley Donen,Cary Grant,Audrey Hepburn,Walter Matthau,James Coburn,68689,"1,34,74,588"
549,The Manchurian Candidate,1962,PG-13,126,Drama,7.9,94,John Frankenheimer,Frank Sinatra,Laurence Harvey,Janet Leigh,Angela Lansbury,71122,"6,80,34,751"
550,Spartacus,1960,A,197,Adventure,7.9,87,Stanley Kubrick,Kirk Douglas,Laurence Olivier,Jean Simmons,Charles Laughton,124339,"3,00,00,000"
551,L'avventura,1960,U,144,Drama,7.9,78,Michelangelo Antonioni,Gabriele Ferzetti,Monica Vitti,Lea Massari,Dominique Blanchar,26542,"6,80,34,751"
552,Hiroshima mon amour,1959,U,90,Drama,7.9,78,Alain Resnais,Emmanuelle Riva,Eiji Okada,Stella Dassas,Pierre Barbaud,28421,"88,300"
553,The Ten Commandments,1956,U,220,Adventure,7.9,78,Cecil B. DeMille,Charlton Heston,Yul Brynner,Anne Baxter,Edward G. Robinson,63560,"9,37,40,000"
554,The Searchers,1956,Passed,119,Adventure,7.9,94,John Ford,John Wayne,Jeffrey Hunter,Vera Miles,Ward Bond,80316,"6,80,34,751"
555,East of Eden,1955,U,118,Drama,7.9,72,Elia Kazan,James Dean,Raymond Massey,Julie Harris,Burl Ives,40313,"6,80,34,751"
556,High Noon,1952,PG,85,Drama,7.9,89,Fred Zinnemann,Gary Cooper,Grace Kelly,Thomas Mitchell,Lloyd Bridges,97222,"94,50,000"
557,Strangers on a Train,1951,A,101,Crime,7.9,88,Alfred Hitchcock,Farley Granger,Robert Walker,Ruth Roman,Leo G. Carroll,123341,"76,30,000"
558,Harvey,1950,Approved,104,Comedy,7.9,78,Henry Koster,James Stewart,Wallace Ford,William H. Lynn,Victoria Horne,52573,"6,80,34,751"
559,Miracle on 34th Street,1947,U,96,Comedy,7.9,88,George Seaton,Edmund Gwenn,Maureen O'Hara,John Payne,Gene Lockhart,41625,"26,50,000"
560,Notorious,1946,U,102,Drama,7.9,100,Alfred Hitchcock,Cary Grant,Ingrid Bergman,Claude Rains,Louis Calhern,92306,"1,04,64,000"
561,The Big Sleep,1946,Passed,114,Crime,7.9,78,Howard Hawks,Humphrey Bogart,Lauren Bacall,John Ridgely,Martha Vickers,78796,"65,40,000"
562,The Lost Weekend,1945,Passed,101,Drama,7.9,78,Billy Wilder,Ray Milland,Jane Wyman,Phillip Terry,Howard Da Silva,33549,"94,60,000"
563,The Philadelphia Story,1940,U,112,Comedy,7.9,96,George Cukor,Cary Grant,Katharine Hepburn,James Stewart,Ruth Hussey,63550,"6,80,34,751"
564,His Girl Friday,1940,Passed,92,Comedy,7.9,78,Howard Hawks,Cary Grant,Rosalind Russell,Ralph Bellamy,Gene Lockhart,53667,"2,96,000"
565,The Adventures of Robin Hood,1938,PG,102,Action,7.9,97,Michael Curtiz,William Keighley,Errol Flynn,Olivia de Havilland,Basil Rathbone,47175,"39,81,000"
566,A Night at the Opera,1935,Passed,96,Comedy,7.9,78,Sam Wood,Edmund Goulding,Groucho Marx,Chico Marx,Harpo Marx,30580,"25,37,520"
567,King Kong,1933,Passed,100,Adventure,7.9,90,Merian C. Cooper,Ernest B. Schoedsack,Fay Wray,Robert Armstrong,Bruce Cabot,78991,"1,00,00,000"
568,Freaks,1932,U,64,Drama,7.9,80,Tod Browning,Wallace Ford,Leila Hyams,Olga Baclanova,Roscoe Ates,42117,"6,80,34,751"
569,Nosferatu,1922,U,94,Fantasy,7.9,78,F.W. Murnau,Max Schreck,Alexander Granach,Gustav von Wangenheim,Greta SchrÃ¶der,88794,"6,80,34,751"
570,The Gentlemen,2019,A,113,Action,7.8,51,Guy Ritchie,Matthew McConaughey,Charlie Hunnam,Michelle Dockery,Jeremy Strong,237392,"6,80,34,751"
571,Raazi,2018,UA,138,Action,7.8,78,Meghna Gulzar,Alia Bhatt,Vicky Kaushal,Rajit Kapoor,Shishir Sharma,25344,"6,80,34,751"
572,Sound of Metal,2019,R,120,Drama,7.8,81,Darius Marder,Riz Ahmed,Olivia Cooke,Paul Raci,Lauren Ridloff,27187,"6,80,34,751"
573,Forushande,2016,UA,124,Drama,7.8,85,Asghar Farhadi,Shahab Hosseini,Taraneh Alidoosti,Babak Karimi,Mina Sadati,51240,"24,02,067"
574,Dunkirk,2017,UA,106,Action,7.8,94,Christopher Nolan,Fionn Whitehead,Barry Keoghan,Mark Rylance,Tom Hardy,555092,"18,83,73,161"
575,Perfetti sconosciuti,2016,U,96,Comedy,7.8,78,Paolo Genovese,Giuseppe Battiston,Anna Foglietta,Marco Giallini,Edoardo Leo,57168,"6,80,34,751"
576,Hidden Figures,2016,UA,127,Biography,7.8,74,Theodore Melfi,Taraji P. Henson,Octavia Spencer,Janelle MonÃ¡e,Kevin Costner,200876,"16,96,07,287"
577,Paddington 2,2017,U,103,Adventure,7.8,88,Paul King,Ben Whishaw,Hugh Grant,Hugh Bonneville,Sally Hawkins,61594,"4,04,42,052"
578,Udta Punjab,2016,A,148,Action,7.8,78,Abhishek Chaubey,Shahid Kapoor,Alia Bhatt,Kareena Kapoor,Diljit Dosanjh,27175,"6,80,34,751"
579,Kubo and the Two Strings,2016,PG,101,Animation,7.8,84,Travis Knight,Charlize Theron,Art Parkinson,Matthew McConaughey,Ralph Fiennes,118035,"4,80,23,088"
580,M.S. Dhoni: The Untold Story,2016,U,184,Biography,7.8,78,Neeraj Pandey,Sushant Singh Rajput,Kiara Advani,Anupam Kher,Disha Patani,40416,"17,82,795"
581,Manchester by the Sea,2016,UA,137,Drama,7.8,96,Kenneth Lonergan,Casey Affleck,Michelle Williams,Kyle Chandler,Lucas Hedges,246963,"4,76,95,120"
582,Under sandet,2015,R,100,Drama,7.8,75,Martin Zandvliet,Roland MÃ¸ller,Louis Hofmann,Joel Basman,Mikkel Boe FÃ¸lsgaard,35539,"4,35,266"
583,Rogue One,2016,UA,133,Action,7.8,65,Gareth Edwards,Felicity Jones,Diego Luna,Alan Tudyk,Donnie Yen,556608,"53,21,77,324"
584,Captain America: Civil War,2016,UA,147,Action,7.8,75,Anthony Russo,Joe Russo,Chris Evans,Robert Downey Jr.,Scarlett Johansson,663649,"40,80,84,349"
585,The Hateful Eight,2015,A,168,Crime,7.8,68,Quentin Tarantino,Samuel L. Jackson,Kurt Russell,Jennifer Jason Leigh,Walton Goggins,517059,"5,41,17,416"
586,Little Women,2019,U,135,Drama,7.8,91,Greta Gerwig,Saoirse Ronan,Emma Watson,Florence Pugh,Eliza Scanlen,143250,"10,81,01,214"
587,Loving Vincent,2017,UA,94,Animation,7.8,62,Dorota Kobiela,Hugh Welchman,Douglas Booth,Jerome Flynn,Robert Gulaczyk,50778,"67,35,118"
588,Pride,2014,R,119,Biography,7.8,79,Matthew Warchus,Bill Nighy,Imelda Staunton,Dominic West,Paddy Considine,51841,"6,80,34,751"
589,Le passÃ©,2013,PG-13,130,Drama,7.8,85,Asghar Farhadi,BÃ©rÃ©nice Bejo,Tahar Rahim,Ali Mosaffa,Pauline Burlet,45002,"13,30,596"
590,La grande bellezza,2013,U,141,Drama,7.8,86,Paolo Sorrentino,Toni Servillo,Carlo Verdone,Sabrina Ferilli,Carlo Buccirosso,81125,"28,52,400"
591,The Lunchbox,2013,U,104,Drama,7.8,76,Ritesh Batra,Irrfan Khan,Nimrat Kaur,Nawazuddin Siddiqui,Lillete Dubey,50523,"42,31,500"
592,Vicky Donor,2012,UA,126,Comedy,7.8,78,Shoojit Sircar,Ayushmann Khurrana,Yami Gautam,Annu Kapoor,Dolly Ahluwalia,39710,"1,69,209"
593,Big Hero 6,2014,U,102,Animation,7.8,74,Don Hall,Chris Williams,Ryan Potter,Scott Adsit,Jamie Chung,410983,"22,25,27,828"
594,About Time,2013,R,123,Comedy,7.8,55,Richard Curtis,Domhnall Gleeson,Rachel McAdams,Bill Nighy,Lydia Wilson,303032,"1,53,22,921"
595,English Vinglish,2012,U,134,Comedy,7.8,78,Gauri Shinde,Sridevi,Adil Hussain,Mehdi Nebbou,Priya Anand,33618,"16,70,773"
596,Kaze tachinu,2013,PG-13,126,Animation,7.8,83,Hayao Miyazaki,Hideaki Anno,Hidetoshi Nishijima,Miori Takimoto,Masahiko Nishimura,73690,"52,09,580"
597,Toy Story 4,2019,U,100,Animation,7.8,84,Josh Cooley,Tom Hanks,Tim Allen,Annie Potts,Tony Hale,203177,"43,40,38,008"
598,La migliore offerta,2013,R,131,Crime,7.8,49,Giuseppe Tornatore,Geoffrey Rush,Jim Sturgess,Sylvia Hoeks,Donald Sutherland,108399,"85,433"
599,Moonrise Kingdom,2012,A,94,Comedy,7.8,84,Wes Anderson,Jared Gilman,Kara Hayward,Bruce Willis,Bill Murray,318789,"4,55,12,466"
600,How to Train Your Dragon 2,2014,U,102,Animation,7.8,76,Dean DeBlois,Jay Baruchel,Cate Blanchett,Gerard Butler,Craig Ferguson,305611,"17,70,02,924"
601,The Big Short,2015,A,130,Biography,7.8,81,Adam McKay,Christian Bale,Steve Carell,Ryan Gosling,Brad Pitt,362942,"7,02,59,870"
602,Kokuhaku,2010,U,106,Drama,7.8,78,Tetsuya Nakashima,Takako Matsu,Yoshino Kimura,Masaki Okada,Yukito Nishii,35713,"6,80,34,751"
603,Ang-ma-reul bo-at-da,2010,U,144,Action,7.8,67,Jee-woon Kim,Lee Byung-Hun,Choi Min-sik,Jeon Gook-Hwan,Ho-jin Chun,111252,"1,28,392"
604,The Girl with the Dragon Tattoo,2011,R,158,Crime,7.8,71,David Fincher,Daniel Craig,Rooney Mara,Christopher Plummer,Stellan SkarsgÃ¥rd,423010,"10,25,15,793"
605,Captain Phillips,2013,UA,134,Adventure,7.8,82,Paul Greengrass,Tom Hanks,Barkhad Abdi,Barkhad Abdirahman,Catherine Keener,421244,"10,71,00,855"
606,Ajeossi,2010,R,119,Action,7.8,78,Jeong-beom Lee,Won Bin,Sae-ron Kim,Tae-hoon Kim,Hee-won Kim,62848,"6,460"
607,Straight Outta Compton,2015,R,147,Biography,7.8,72,F. Gary Gray,O'Shea Jackson Jr.,Corey Hawkins,Jason Mitchell,Neil Brown Jr.,179264,"16,11,97,785"
608,Madeo,2009,R,129,Crime,7.8,79,Bong Joon Ho,Hye-ja Kim,Won Bin,Jin Goo,Je-mun Yun,52758,"5,47,292"
609,Chugyeokja,2008,U,125,Action,7.8,64,Hong-jin Na,Kim Yoon-seok,Jung-woo Ha,Yeong-hie Seo,Yoo-Jeong Kim,58468,"6,80,34,751"
610,The Hobbit: The Desolation of Smaug,2013,UA,161,Adventure,7.8,66,Peter Jackson,Ian McKellen,Martin Freeman,Richard Armitage,Ken Stott,601408,"25,83,66,855"
611,Das weiÃŸe Band - Eine deutsche Kindergeschichte,2009,UA,144,Drama,7.8,82,Michael Haneke,Christian Friedel,Ernst Jacobi,Leonie Benesch,Ulrich Tukur,68715,"22,22,647"
612,MÃ¤n som hatar kvinnor,2009,R,152,Crime,7.8,76,Niels Arden Oplev,Michael Nyqvist,Noomi Rapace,Ewa FrÃ¶ling,Lena Endre,208994,"1,00,95,170"
613,The Trial of the Chicago 7,2020,R,129,Drama,7.8,77,Aaron Sorkin,Eddie Redmayne,Alex Sharp,Sacha Baron Cohen,Jeremy Strong,89896,"6,80,34,751"
614,Druk,2020,U,117,Comedy,7.8,81,Thomas Vinterberg,Mads Mikkelsen,Thomas Bo Larsen,Magnus Millang,Lars Ranthe,33931,"6,80,34,751"
615,The Fighter,2010,UA,116,Biography,7.8,79,David O. Russell,Mark Wahlberg,Christian Bale,Amy Adams,Melissa Leo,340584,"9,36,17,009"
616,Taken,2008,A,90,Action,7.8,51,Pierre Morel,Liam Neeson,Maggie Grace,Famke Janssen,Leland Orser,564791,"14,50,00,989"
617,The Boy in the Striped Pyjamas,2008,PG-13,94,Drama,7.8,55,Mark Herman,Asa Butterfield,David Thewlis,Rupert Friend,Zac Mattoon O'Brien,190748,"90,30,581"
618,Once,2007,R,86,Drama,7.8,88,John Carney,Glen Hansard,MarkÃ©ta IrglovÃ¡,Hugh Walsh,Gerard Hendrick,110656,"94,39,923"
619,The Hobbit: An Unexpected Journey,2012,UA,169,Adventure,7.8,58,Peter Jackson,Martin Freeman,Ian McKellen,Richard Armitage,Andy Serkis,757377,"30,30,03,568"
620,Auf der anderen Seite,2007,U,122,Drama,7.8,85,Fatih Akin,Baki Davrak,NurgÃ¼l YesilÃ§ay,Tuncel Kurtiz,Nursel KÃ¶se,30827,"7,41,283"
621,Atonement,2007,R,123,Drama,7.8,85,Joe Wright,Keira Knightley,James McAvoy,Brenda Blethyn,Saoirse Ronan,251370,"5,09,27,067"
622,Drive,2011,A,100,Crime,7.8,78,Nicolas Winding Refn,Ryan Gosling,Carey Mulligan,Bryan Cranston,Albert Brooks,571571,"3,50,61,555"
623,American Gangster,2007,A,157,Biography,7.8,76,Ridley Scott,Denzel Washington,Russell Crowe,Chiwetel Ejiofor,Josh Brolin,392449,"13,01,64,645"
624,Avatar,2009,UA,162,Action,7.8,83,James Cameron,Sam Worthington,Zoe Saldana,Sigourney Weaver,Michelle Rodriguez,1118998,"76,05,07,625"
625,Mr. Nobody,2009,R,141,Drama,7.8,63,Jaco Van Dormael,Jared Leto,Sarah Polley,Diane Kruger,Linh Dan Pham,216421,"3,600"
